Chromosome,Start,End,mRNA
Chr1,1,10000001,192
Chr1,10000001,20000001,144
Chr1,20000001,30000001,107
Chr1,30000001,40000001,179
Chr1,40000001,50000001,123
Chr1,50000001,60000001,110
Chr1,60000001,70000001,109
Chr1,70000001,80000001,133
Chr1,80000001,90000001,141
Chr1,90000001,100000001,124
Chr1,100000001,110000001,114
Chr1,110000001,120000001,114
Chr1,120000001,130000001,104
Chr1,130000001,140000001,73
Chr1,140000001,150000001,84
Chr1,150000001,160000001,75
Chr1,160000001,170000001,126
Chr1,170000001,180000001,169
Chr1,180000001,190000001,103
Chr1,190000001,200000001,130
Chr1,200000001,210000001,124
Chr1,210000001,220000001,56
Chr1,220000001,230000001,109
Chr1,230000001,240000001,217
Chr1,240000001,250000001,176
Chr1,250000001,260000001,138
Chr1,260000001,270000001,107
Chr1,270000001,280000001,118
Chr1,280000001,290000001,182
Chr1,290000001,300000001,94
Chr2,1,10000001,128
Chr2,10000001,20000001,142
Chr2,20000001,30000001,142
Chr2,30000001,40000001,103
Chr2,40000001,50000001,88
Chr2,50000001,60000001,99
Chr2,60000001,70000001,101
Chr2,70000001,80000001,74
Chr2,80000001,90000001,144
Chr2,90000001,100000001,130
Chr2,100000001,110000001,301
Chr2,110000001,120000001,271
Chr2,120000001,130000001,186
Chr2,130000001,140000001,215
Chr2,140000001,150000001,205
Chr2,150000001,160000001,182
Chr2,160000001,170000001,107
Chr2,170000001,180000001,115
Chr2,180000001,190000001,134
Chr2,190000001,200000001,206
Chr2,200000001,210000001,141
Chr2,210000001,220000001,101
Chr2,220000001,230000001,61
Chr2,230000001,240000001,258
Chr2,240000001,250000001,327
Chr2,250000001,260000001,114
Chr3,1,10000001,203
Chr3,10000001,20000001,110
Chr3,20000001,30000001,129
Chr3,30000001,40000001,192
Chr3,40000001,50000001,170
Chr3,50000001,60000001,102
Chr3,60000001,70000001,122
Chr3,70000001,80000001,133
Chr3,80000001,90000001,98
Chr3,90000001,100000001,167
Chr3,100000001,110000001,22
Chr3,110000001,120000001,56
Chr3,120000001,130000001,119
Chr3,130000001,140000001,127
Chr3,140000001,150000001,110
Chr3,150000001,160000001,185
Chr3,160000001,170000001,40
Chr3,170000001,180000001,144
Chr3,180000001,190000001,143
Chr3,190000001,200000001,145
Chr3,200000001,210000001,214
Chr4,1,10000001,167
Chr4,10000001,20000001,122
Chr4,20000001,30000001,128
Chr4,30000001,40000001,129
Chr4,40000001,50000001,120
Chr4,50000001,60000001,96
Chr4,60000001,70000001,130
Chr4,70000001,80000001,40
Chr4,80000001,90000001,131
Chr4,90000001,100000001,192
Chr4,100000001,110000001,112
Chr4,110000001,120000001,112
Chr4,120000001,130000001,85
Chr4,130000001,140000001,133
Chr4,140000001,150000001,171
Chr4,150000001,160000001,214
Chr4,160000001,170000001,163
Chr4,170000001,180000001,163
Chr4,180000001,190000001,149
Chr4,190000001,200000001,236
Chr5,1,10000001,249
Chr5,10000001,20000001,137
Chr5,20000001,30000001,141
Chr5,30000001,40000001,128
Chr5,40000001,50000001,159
Chr5,50000001,60000001,105
Chr5,60000001,70000001,242
Chr5,70000001,80000001,242
Chr5,80000001,90000001,268
Chr5,90000001,100000001,538
Chr5,100000001,110000001,111
Chr6,1,10000001,208
Chr6,10000001,20000001,143
Chr6,20000001,30000001,88
Chr6,30000001,40000001,113
Chr6,40000001,50000001,96
Chr6,50000001,60000001,150
Chr6,60000001,70000001,191
Chr7,1,10000001,171
Chr7,10000001,20000001,95
Chr7,20000001,30000001,146
Chr7,30000001,40000001,161
Chr7,40000001,50000001,258
Chr7,50000001,60000001,178
Chr7,60000001,70000001,149
Chr8,1,10000001,241
Chr8,10000001,20000001,235
Chr8,20000001,30000001,219
Chr8,30000001,40000001,319
Chr8,40000001,50000001,276
Chr8,50000001,60000001,133
Chr9,1,10000001,209
Chr9,10000001,20000001,229
Chr9,20000001,30000001,300
Chr9,30000001,40000001,197
Chr10,1,10000001,311
Chr10,10000001,20000001,354
Chr10,20000001,30000001,238
Chr11,1,10000001,270
Chr11,10000001,20000001,197
Chr11,20000001,30000001,103
Chr12,1,10000001,209
Chr12,10000001,20000001,224
Chr13,1,10000001,258
Chr13,10000001,20000001,343
Chr14,1,10000001,409
Chr14,10000001,20000001,52
Chr15,1,10000001,495
Chr15,10000001,20000001,67
Chr16,1,10000001,663
