Chromosome,Start,End,CDS
Chr1,1,10000001,100
Chr1,10000001,20000001,66
Chr1,20000001,30000001,54
Chr1,30000001,40000001,46
Chr1,40000001,50000001,59
Chr1,50000001,60000001,32
Chr1,60000001,70000001,39
Chr1,70000001,80000001,54
Chr1,80000001,90000001,44
Chr1,90000001,100000001,57
Chr1,100000001,110000001,65
Chr1,110000001,120000001,40
Chr1,120000001,130000001,40
Chr1,130000001,140000001,36
Chr1,140000001,150000001,25
Chr1,150000001,160000001,40
Chr1,160000001,170000001,43
Chr1,170000001,180000001,90
Chr1,180000001,190000001,39
Chr1,190000001,200000001,176
Chr1,200000001,210000001,156
Chr1,210000001,220000001,24
Chr1,220000001,230000001,26
Chr1,230000001,240000001,70
Chr1,240000001,250000001,142
Chr1,250000001,260000001,35
Chr1,260000001,270000001,63
Chr1,270000001,280000001,20
Chr1,280000001,290000001,75
Chr1,290000001,300000001,37
Chr2,1,10000001,55
Chr2,10000001,20000001,105
Chr2,20000001,30000001,56
Chr2,30000001,40000001,27
Chr2,40000001,50000001,16
Chr2,50000001,60000001,45
Chr2,60000001,70000001,44
Chr2,70000001,80000001,24
Chr2,80000001,90000001,44
Chr2,90000001,100000001,106
Chr2,100000001,110000001,74
Chr2,110000001,120000001,70
Chr2,120000001,130000001,53
Chr2,130000001,140000001,74
Chr2,140000001,150000001,73
Chr2,150000001,160000001,59
Chr2,160000001,170000001,27
Chr2,170000001,180000001,59
Chr2,180000001,190000001,124
Chr2,190000001,200000001,70
Chr2,200000001,210000001,33
Chr2,210000001,220000001,33
Chr2,220000001,230000001,86
Chr2,230000001,240000001,43
Chr2,240000001,250000001,87
Chr2,250000001,260000001,100
Chr3,1,10000001,157
Chr3,10000001,20000001,56
Chr3,20000001,30000001,66
Chr3,30000001,40000001,89
Chr3,40000001,50000001,132
Chr3,50000001,60000001,78
Chr3,60000001,70000001,56
Chr3,70000001,80000001,57
Chr3,80000001,90000001,47
Chr3,90000001,100000001,85
Chr3,100000001,110000001,26
Chr3,110000001,120000001,29
Chr3,120000001,130000001,40
Chr3,130000001,140000001,88
Chr3,140000001,150000001,60
Chr3,150000001,160000001,96
Chr3,160000001,170000001,26
Chr3,170000001,180000001,58
Chr3,180000001,190000001,46
Chr3,190000001,200000001,100
Chr3,200000001,210000001,96
Chr4,1,10000001,48
Chr4,10000001,20000001,47
Chr4,20000001,30000001,68
Chr4,30000001,40000001,51
Chr4,40000001,50000001,78
Chr4,50000001,60000001,52
Chr4,60000001,70000001,74
Chr4,70000001,80000001,26
Chr4,80000001,90000001,58
Chr4,90000001,100000001,86
Chr4,100000001,110000001,89
Chr4,110000001,120000001,70
Chr4,120000001,130000001,29
Chr4,130000001,140000001,57
Chr4,140000001,150000001,68
Chr4,150000001,160000001,81
Chr4,160000001,170000001,130
Chr4,170000001,180000001,74
Chr4,180000001,190000001,42
Chr4,190000001,200000001,141
Chr5,1,10000001,135
Chr5,10000001,20000001,28
Chr5,20000001,30000001,67
Chr5,30000001,40000001,38
Chr5,40000001,50000001,117
Chr5,50000001,60000001,25
Chr5,60000001,70000001,129
Chr5,70000001,80000001,54
Chr5,80000001,90000001,104
Chr5,90000001,100000001,158
Chr5,100000001,110000001,45
Chr6,1,10000001,88
Chr6,10000001,20000001,109
Chr6,20000001,30000001,69
Chr6,30000001,40000001,54
Chr6,40000001,50000001,56
Chr6,50000001,60000001,53
Chr6,60000001,70000001,75
Chr7,1,10000001,138
Chr7,10000001,20000001,86
Chr7,20000001,30000001,83
Chr7,30000001,40000001,41
Chr7,40000001,50000001,61
Chr7,50000001,60000001,78
Chr7,60000001,70000001,21
Chr8,1,10000001,131
Chr8,10000001,20000001,159
Chr8,20000001,30000001,36
Chr8,30000001,40000001,109
Chr8,40000001,50000001,85
Chr8,50000001,60000001,56
Chr9,1,10000001,180
Chr9,10000001,20000001,135
Chr9,20000001,30000001,72
Chr9,30000001,40000001,87
Chr10,1,10000001,92
Chr10,10000001,20000001,101
Chr10,20000001,30000001,45
Chr11,1,10000001,158
Chr11,10000001,20000001,152
Chr11,20000001,30000001,23
Chr12,1,10000001,169
Chr12,10000001,20000001,152
Chr13,1,10000001,257
Chr13,10000001,20000001,115
Chr14,1,10000001,155
Chr14,10000001,20000001,49
Chr15,1,10000001,214
Chr15,10000001,20000001,23
Chr16,1,10000001,135
