Chromosome,Start,End,mRNA
Chr1,1,10000001,175
Chr1,10000001,20000001,117
Chr1,20000001,30000001,92
Chr1,30000001,40000001,160
Chr1,40000001,50000001,113
Chr1,50000001,60000001,105
Chr1,60000001,70000001,105
Chr1,70000001,80000001,121
Chr1,80000001,90000001,122
Chr1,90000001,100000001,104
Chr1,100000001,110000001,96
Chr1,110000001,120000001,110
Chr1,120000001,130000001,82
Chr1,130000001,140000001,83
Chr1,140000001,150000001,73
Chr1,150000001,160000001,59
Chr1,160000001,170000001,112
Chr1,170000001,180000001,122
Chr1,180000001,190000001,101
Chr1,190000001,200000001,109
Chr1,200000001,210000001,139
Chr1,210000001,220000001,54
Chr1,220000001,230000001,90
Chr1,230000001,240000001,186
Chr1,240000001,250000001,191
Chr1,250000001,260000001,114
Chr1,260000001,270000001,68
Chr1,270000001,280000001,115
Chr1,280000001,290000001,173
Chr1,290000001,300000001,78
Chr2,1,10000001,128
Chr2,10000001,20000001,128
Chr2,20000001,30000001,126
Chr2,30000001,40000001,82
Chr2,40000001,50000001,67
Chr2,50000001,60000001,90
Chr2,60000001,70000001,89
Chr2,70000001,80000001,53
Chr2,80000001,90000001,134
Chr2,90000001,100000001,116
Chr2,100000001,110000001,229
Chr2,110000001,120000001,257
Chr2,120000001,130000001,154
Chr2,130000001,140000001,220
Chr2,140000001,150000001,144
Chr2,150000001,160000001,162
Chr2,160000001,170000001,138
Chr2,170000001,180000001,99
Chr2,180000001,190000001,119
Chr2,190000001,200000001,164
Chr2,200000001,210000001,127
Chr2,210000001,220000001,113
Chr2,220000001,230000001,42
Chr2,230000001,240000001,177
Chr2,240000001,250000001,308
Chr2,250000001,260000001,187
Chr3,1,10000001,181
Chr3,10000001,20000001,93
Chr3,20000001,30000001,109
Chr3,30000001,40000001,164
Chr3,40000001,50000001,148
Chr3,50000001,60000001,99
Chr3,60000001,70000001,105
Chr3,70000001,80000001,107
Chr3,80000001,90000001,80
Chr3,90000001,100000001,140
Chr3,100000001,110000001,13
Chr3,110000001,120000001,41
Chr3,120000001,130000001,97
Chr3,130000001,140000001,113
Chr3,140000001,150000001,105
Chr3,150000001,160000001,142
Chr3,160000001,170000001,43
Chr3,170000001,180000001,104
Chr3,180000001,190000001,123
Chr3,190000001,200000001,119
Chr3,200000001,210000001,198
Chr4,1,10000001,167
Chr4,10000001,20000001,107
Chr4,20000001,30000001,107
Chr4,30000001,40000001,122
Chr4,40000001,50000001,106
Chr4,50000001,60000001,83
Chr4,60000001,70000001,123
Chr4,70000001,80000001,35
Chr4,80000001,90000001,113
Chr4,90000001,100000001,204
Chr4,100000001,110000001,102
Chr4,110000001,120000001,94
Chr4,120000001,130000001,81
Chr4,130000001,140000001,103
Chr4,140000001,150000001,145
Chr4,150000001,160000001,198
Chr4,160000001,170000001,140
Chr4,170000001,180000001,144
Chr4,180000001,190000001,130
Chr4,190000001,200000001,227
Chr5,1,10000001,219
Chr5,10000001,20000001,110
Chr5,20000001,30000001,121
Chr5,30000001,40000001,93
Chr5,40000001,50000001,139
Chr5,50000001,60000001,76
Chr5,60000001,70000001,209
Chr5,70000001,80000001,227
Chr5,80000001,90000001,259
Chr5,90000001,100000001,531
Chr5,100000001,110000001,97
Chr6,1,10000001,218
Chr6,10000001,20000001,112
Chr6,20000001,30000001,85
Chr6,30000001,40000001,97
Chr6,40000001,50000001,88
Chr6,50000001,60000001,123
Chr6,60000001,70000001,176
Chr7,1,10000001,202
Chr7,10000001,20000001,221
Chr7,20000001,30000001,197
Chr7,30000001,40000001,93
Chr7,40000001,50000001,114
Chr7,50000001,60000001,95
Chr7,60000001,70000001,82
Chr8,1,10000001,276
Chr8,10000001,20000001,259
Chr8,20000001,30000001,266
Chr8,30000001,40000001,192
Chr8,40000001,50000001,170
Chr8,50000001,60000001,113
Chr9,1,10000001,239
Chr9,10000001,20000001,258
Chr9,20000001,30000001,211
Chr9,30000001,40000001,160
Chr10,1,10000001,293
Chr10,10000001,20000001,329
Chr10,20000001,30000001,227
Chr11,1,10000001,253
Chr11,10000001,20000001,249
Chr11,20000001,30000001,28
Chr12,1,10000001,208
Chr12,10000001,20000001,207
Chr13,1,10000001,406
Chr13,10000001,20000001,145
Chr14,1,10000001,456
Chr14,10000001,20000001,58
Chr15,1,10000001,365
Chr15,10000001,20000001,43
Chr16,1,10000001,608
