Chromosome,Start,End,CDS
Chr1,1,10000001,2072
Chr1,10000001,20000001,1737
Chr1,20000001,30000001,1135
Chr1,30000001,40000001,1952
Chr1,40000001,50000001,1669
Chr1,50000001,60000001,1095
Chr1,60000001,70000001,1226
Chr1,70000001,80000001,1949
Chr1,80000001,90000001,1724
Chr1,90000001,100000001,2471
Chr1,100000001,110000001,1329
Chr1,110000001,120000001,1062
Chr1,120000001,130000001,1272
Chr1,130000001,140000001,798
Chr1,140000001,150000001,837
Chr1,150000001,160000001,833
Chr1,160000001,170000001,1653
Chr1,170000001,180000001,2257
Chr1,180000001,190000001,808
Chr1,190000001,200000001,1392
Chr1,200000001,210000001,2068
Chr1,210000001,220000001,1237
Chr1,220000001,230000001,1417
Chr1,230000001,240000001,2255
Chr1,240000001,250000001,1731
Chr1,250000001,260000001,1819
Chr1,260000001,270000001,1322
Chr1,270000001,280000001,1328
Chr1,280000001,290000001,2562
Chr1,290000001,300000001,1075
Chr2,1,10000001,1302
Chr2,10000001,20000001,1787
Chr2,20000001,30000001,1568
Chr2,30000001,40000001,1322
Chr2,40000001,50000001,959
Chr2,50000001,60000001,1027
Chr2,60000001,70000001,1199
Chr2,70000001,80000001,828
Chr2,80000001,90000001,1441
Chr2,90000001,100000001,1331
Chr2,100000001,110000001,3553
Chr2,110000001,120000001,3269
Chr2,120000001,130000001,1506
Chr2,130000001,140000001,2297
Chr2,140000001,150000001,2510
Chr2,150000001,160000001,2470
Chr2,160000001,170000001,1121
Chr2,170000001,180000001,1043
Chr2,180000001,190000001,1412
Chr2,190000001,200000001,2167
Chr2,200000001,210000001,1684
Chr2,210000001,220000001,1351
Chr2,220000001,230000001,706
Chr2,230000001,240000001,1888
Chr2,240000001,250000001,1931
Chr2,250000001,260000001,827
Chr3,1,10000001,2212
Chr3,10000001,20000001,964
Chr3,20000001,30000001,1447
Chr3,30000001,40000001,2095
Chr3,40000001,50000001,1846
Chr3,50000001,60000001,1119
Chr3,60000001,70000001,1491
Chr3,70000001,80000001,1534
Chr3,80000001,90000001,728
Chr3,90000001,100000001,1992
Chr3,100000001,110000001,160
Chr3,110000001,120000001,812
Chr3,120000001,130000001,1576
Chr3,130000001,140000001,1558
Chr3,140000001,150000001,1634
Chr3,150000001,160000001,2173
Chr3,160000001,170000001,388
Chr3,170000001,180000001,1490
Chr3,180000001,190000001,1624
Chr3,190000001,200000001,1396
Chr3,200000001,210000001,1965
Chr4,1,10000001,1937
Chr4,10000001,20000001,1459
Chr4,20000001,30000001,983
Chr4,30000001,40000001,1579
Chr4,40000001,50000001,1645
Chr4,50000001,60000001,947
Chr4,60000001,70000001,1006
Chr4,70000001,80000001,761
Chr4,80000001,90000001,1204
Chr4,90000001,100000001,1738
Chr4,100000001,110000001,1484
Chr4,110000001,120000001,1428
Chr4,120000001,130000001,958
Chr4,130000001,140000001,1495
Chr4,140000001,150000001,1660
Chr4,150000001,160000001,2252
Chr4,160000001,170000001,1645
Chr4,170000001,180000001,1844
Chr4,180000001,190000001,1282
Chr4,190000001,200000001,2146
Chr5,1,10000001,3447
Chr5,10000001,20000001,1811
Chr5,20000001,30000001,1511
Chr5,30000001,40000001,1121
Chr5,40000001,50000001,1929
Chr5,50000001,60000001,1159
Chr5,60000001,70000001,2504
Chr5,70000001,80000001,2198
Chr5,80000001,90000001,2196
Chr5,90000001,100000001,4587
Chr5,100000001,110000001,1038
Chr6,1,10000001,2131
Chr6,10000001,20000001,1887
Chr6,20000001,30000001,977
Chr6,30000001,40000001,1307
Chr6,40000001,50000001,1171
Chr6,50000001,60000001,1740
Chr6,60000001,70000001,2288
Chr7,1,10000001,2222
Chr7,10000001,20000001,1259
Chr7,20000001,30000001,2029
Chr7,30000001,40000001,1839
Chr7,40000001,50000001,2535
Chr7,50000001,60000001,2111
Chr7,60000001,70000001,1711
Chr8,1,10000001,2745
Chr8,10000001,20000001,2865
Chr8,20000001,30000001,2656
Chr8,30000001,40000001,4015
Chr8,40000001,50000001,3031
Chr8,50000001,60000001,1492
Chr9,1,10000001,2065
Chr9,10000001,20000001,2088
Chr9,20000001,30000001,4033
Chr9,30000001,40000001,1959
Chr10,1,10000001,3238
Chr10,10000001,20000001,2551
Chr10,20000001,30000001,2552
Chr11,1,10000001,2566
Chr11,10000001,20000001,2458
Chr11,20000001,30000001,1103
Chr12,1,10000001,2084
Chr12,10000001,20000001,2258
Chr13,1,10000001,2752
Chr13,10000001,20000001,4295
Chr14,1,10000001,5006
Chr14,10000001,20000001,489
Chr15,1,10000001,5919
Chr15,10000001,20000001,780
Chr16,1,10000001,5754
