Chromosome,Start,End,Feature
Chr11,19019374,19019520,CDS
Chr11,19134926,19134994,CDS
Chr11,9639023,9639166,CDS
Chr11,9637150,9637260,CDS
Chr11,9631265,9631384,CDS
Chr11,15911819,15911881,CDS
Chr11,15924052,15924579,CDS
Chr11,13482388,13482462,CDS
Chr11,13459032,13459739,CDS
Chr11,20252481,20253461,CDS
Chr11,20277913,20277948,CDS
Chr11,15903888,15904106,CDS
Chr11,15904775,15904948,CDS
Chr11,9142518,9142676,CDS
Chr11,9143122,9143202,CDS
Chr11,18279908,18279994,CDS
Chr11,18330656,18330841,CDS
Chr11,1807769,1807846,CDS
Chr11,1797138,1797362,CDS
Chr11,18132684,18132749,CDS
Chr11,18133837,18133968,CDS
Chr11,18135222,18135332,CDS
Chr11,18135689,18135865,CDS
Chr11,18136880,18137152,CDS
Chr11,18138503,18138703,CDS
Chr11,18139122,18139484,CDS
Chr11,18141382,18141534,CDS
Chr11,18142508,18142648,CDS
Chr11,18648281,18648328,CDS
Chr11,18532236,18532337,CDS
Chr11,16821660,16821806,CDS
Chr11,16764074,16764175,CDS
Chr11,2449660,2449761,CDS
Chr11,2447231,2447287,CDS
Chr11,2444606,2444806,CDS
Chr11,2443899,2444255,CDS
Chr11,19212769,19212840,CDS
Chr11,19331847,19331939,CDS
Chr11,20411627,20412100,CDS
Chr11,13431047,13431859,CDS
Chr11,7003918,7004103,CDS
Chr11,7002753,7002971,CDS
Chr11,7000269,7000448,CDS
Chr11,6999197,6999331,CDS
Chr11,1804363,1804410,CDS
Chr11,1790662,1790784,CDS
Chr11,6213519,6213689,CDS
Chr11,6139490,6139507,CDS
Chr11,2443899,2444276,CDS
Chr11,3930230,3930334,CDS
Chr11,3948166,3948303,CDS
Chr11,17536742,17537374,CDS
Chr11,13747172,13747288,CDS
Chr11,13829350,13829391,CDS
Chr11,2973393,2973461,CDS
Chr11,2959832,2960032,CDS
Chr11,767318,767446,CDS
Chr11,669844,669957,CDS
Chr11,7338362,7338403,CDS
Chr11,7449572,7449661,CDS
Chr11,18075073,18075147,CDS
Chr11,18076808,18076858,CDS
Chr11,18079714,18079893,CDS
Chr11,18082466,18082714,CDS
Chr11,18083916,18084071,CDS
Chr11,18085187,18085291,CDS
Chr11,17668259,17668420,CDS
Chr11,2472812,2472976,CDS
