Chromosome,Start,End,gene
Chr1,1,10000001,161
Chr1,10000001,20000001,100
Chr1,20000001,30000001,84
Chr1,30000001,40000001,140
Chr1,40000001,50000001,94
Chr1,50000001,60000001,82
Chr1,60000001,70000001,92
Chr1,70000001,80000001,103
Chr1,80000001,90000001,105
Chr1,90000001,100000001,93
Chr1,100000001,110000001,93
Chr1,110000001,120000001,93
Chr1,120000001,130000001,77
Chr1,130000001,140000001,66
Chr1,140000001,150000001,68
Chr1,150000001,160000001,63
Chr1,160000001,170000001,101
Chr1,170000001,180000001,128
Chr1,180000001,190000001,86
Chr1,190000001,200000001,111
Chr1,200000001,210000001,90
Chr1,210000001,220000001,43
Chr1,220000001,230000001,84
Chr1,230000001,240000001,180
Chr1,240000001,250000001,152
Chr1,250000001,260000001,102
Chr1,260000001,270000001,75
Chr1,270000001,280000001,87
Chr1,280000001,290000001,143
Chr1,290000001,300000001,69
Chr2,1,10000001,107
Chr2,10000001,20000001,101
Chr2,20000001,30000001,120
Chr2,30000001,40000001,76
Chr2,40000001,50000001,65
Chr2,50000001,60000001,78
Chr2,60000001,70000001,81
Chr2,70000001,80000001,63
Chr2,80000001,90000001,120
Chr2,90000001,100000001,105
Chr2,100000001,110000001,234
Chr2,110000001,120000001,206
Chr2,120000001,130000001,148
Chr2,130000001,140000001,170
Chr2,140000001,150000001,165
Chr2,150000001,160000001,138
Chr2,160000001,170000001,86
Chr2,170000001,180000001,94
Chr2,180000001,190000001,104
Chr2,190000001,200000001,172
Chr2,200000001,210000001,103
Chr2,210000001,220000001,83
Chr2,220000001,230000001,45
Chr2,230000001,240000001,225
Chr2,240000001,250000001,291
Chr2,250000001,260000001,91
Chr3,1,10000001,162
Chr3,10000001,20000001,95
Chr3,20000001,30000001,103
Chr3,30000001,40000001,161
Chr3,40000001,50000001,133
Chr3,50000001,60000001,81
Chr3,60000001,70000001,96
Chr3,70000001,80000001,96
Chr3,80000001,90000001,82
Chr3,90000001,100000001,125
Chr3,100000001,110000001,18
Chr3,110000001,120000001,40
Chr3,120000001,130000001,88
Chr3,130000001,140000001,99
Chr3,140000001,150000001,81
Chr3,150000001,160000001,139
Chr3,160000001,170000001,35
Chr3,170000001,180000001,112
Chr3,180000001,190000001,112
Chr3,190000001,200000001,120
Chr3,200000001,210000001,178
Chr4,1,10000001,138
Chr4,10000001,20000001,101
Chr4,20000001,30000001,115
Chr4,30000001,40000001,99
Chr4,40000001,50000001,90
Chr4,50000001,60000001,78
Chr4,60000001,70000001,112
Chr4,70000001,80000001,30
Chr4,80000001,90000001,113
Chr4,90000001,100000001,158
Chr4,100000001,110000001,92
Chr4,110000001,120000001,81
Chr4,120000001,130000001,67
Chr4,130000001,140000001,98
Chr4,140000001,150000001,151
Chr4,150000001,160000001,173
Chr4,160000001,170000001,126
Chr4,170000001,180000001,130
Chr4,180000001,190000001,118
Chr4,190000001,200000001,190
Chr5,1,10000001,188
Chr5,10000001,20000001,101
Chr5,20000001,30000001,114
Chr5,30000001,40000001,103
Chr5,40000001,50000001,126
Chr5,50000001,60000001,77
Chr5,60000001,70000001,194
Chr5,70000001,80000001,197
Chr5,80000001,90000001,221
Chr5,90000001,100000001,464
Chr5,100000001,110000001,89
Chr6,1,10000001,163
Chr6,10000001,20000001,107
Chr6,20000001,30000001,70
Chr6,30000001,40000001,87
Chr6,40000001,50000001,72
Chr6,50000001,60000001,116
Chr6,60000001,70000001,161
Chr7,1,10000001,133
Chr7,10000001,20000001,71
Chr7,20000001,30000001,112
Chr7,30000001,40000001,122
Chr7,40000001,50000001,209
Chr7,50000001,60000001,145
Chr7,60000001,70000001,112
Chr8,1,10000001,191
Chr8,10000001,20000001,182
Chr8,20000001,30000001,157
Chr8,30000001,40000001,249
Chr8,40000001,50000001,221
Chr8,50000001,60000001,112
Chr9,1,10000001,178
Chr9,10000001,20000001,193
Chr9,20000001,30000001,225
Chr9,30000001,40000001,160
Chr10,1,10000001,243
Chr10,10000001,20000001,300
Chr10,20000001,30000001,195
Chr11,1,10000001,227
Chr11,10000001,20000001,158
Chr11,20000001,30000001,74
Chr12,1,10000001,167
Chr12,10000001,20000001,181
Chr13,1,10000001,209
Chr13,10000001,20000001,274
Chr14,1,10000001,315
Chr14,10000001,20000001,43
Chr15,1,10000001,387
Chr15,10000001,20000001,47
Chr16,1,10000001,551
