Chromosome,Start,End,repeat
Chr1,1,10000001,30697
Chr1,10000001,20000001,34008
Chr1,20000001,30000001,31914
Chr1,30000001,40000001,28582
Chr1,40000001,50000001,32076
Chr1,50000001,60000001,31804
Chr1,60000001,70000001,31442
Chr1,70000001,80000001,30483
Chr1,80000001,90000001,31252
Chr1,90000001,100000001,31085
Chr1,100000001,110000001,31961
Chr1,110000001,120000001,32678
Chr1,120000001,130000001,32246
Chr1,130000001,140000001,32487
Chr1,140000001,150000001,32982
Chr1,150000001,160000001,33597
Chr1,160000001,170000001,33190
Chr1,170000001,180000001,32100
Chr1,180000001,190000001,27814
Chr1,190000001,200000001,31429
Chr1,200000001,210000001,33065
Chr1,210000001,220000001,31815
Chr1,220000001,230000001,31421
Chr1,230000001,240000001,30342
Chr1,240000001,250000001,29843
Chr1,250000001,260000001,30916
Chr1,260000001,270000001,32100
Chr1,270000001,280000001,31967
Chr1,280000001,290000001,32632
Chr1,290000001,300000001,28617
Chr2,1,10000001,29567
Chr2,10000001,20000001,33346
Chr2,20000001,30000001,31814
Chr2,30000001,40000001,31405
Chr2,40000001,50000001,31875
Chr2,50000001,60000001,32244
Chr2,60000001,70000001,32041
Chr2,70000001,80000001,32842
Chr2,80000001,90000001,33486
Chr2,90000001,100000001,25280
Chr2,100000001,110000001,33338
Chr2,110000001,120000001,32118
Chr2,120000001,130000001,27065
Chr2,130000001,140000001,30812
Chr2,140000001,150000001,29986
Chr2,150000001,160000001,29782
Chr2,160000001,170000001,29950
Chr2,170000001,180000001,31266
Chr2,180000001,190000001,30749
Chr2,190000001,200000001,29785
Chr2,200000001,210000001,31148
Chr2,210000001,220000001,30023
Chr2,220000001,230000001,32197
Chr2,230000001,240000001,32715
Chr2,240000001,250000001,31494
Chr2,250000001,260000001,15992
Chr3,1,10000001,29001
Chr3,10000001,20000001,33030
Chr3,20000001,30000001,31726
Chr3,30000001,40000001,29859
Chr3,40000001,50000001,29080
Chr3,50000001,60000001,30806
Chr3,60000001,70000001,32900
Chr3,70000001,80000001,31786
Chr3,80000001,90000001,31860
Chr3,90000001,100000001,31699
Chr3,100000001,110000001,33783
Chr3,110000001,120000001,33630
Chr3,120000001,130000001,32741
Chr3,130000001,140000001,32877
Chr3,140000001,150000001,30786
Chr3,150000001,160000001,31429
Chr3,160000001,170000001,30480
Chr3,170000001,180000001,31447
Chr3,180000001,190000001,31692
Chr3,190000001,200000001,33514
Chr3,200000001,210000001,25660
Chr4,1,10000001,29380
Chr4,10000001,20000001,31781
Chr4,20000001,30000001,30804
Chr4,30000001,40000001,31742
Chr4,40000001,50000001,31015
Chr4,50000001,60000001,30822
Chr4,60000001,70000001,31521
Chr4,70000001,80000001,32435
Chr4,80000001,90000001,30668
Chr4,90000001,100000001,30188
Chr4,100000001,110000001,31874
Chr4,110000001,120000001,32542
Chr4,120000001,130000001,31491
Chr4,130000001,140000001,31759
Chr4,140000001,150000001,30123
Chr4,150000001,160000001,28975
Chr4,160000001,170000001,30117
Chr4,170000001,180000001,30453
Chr4,180000001,190000001,32580
Chr4,190000001,200000001,29440
Chr5,1,10000001,26843
Chr5,10000001,20000001,30705
Chr5,20000001,30000001,32690
Chr5,30000001,40000001,32799
Chr5,40000001,50000001,32353
Chr5,50000001,60000001,32323
Chr5,60000001,70000001,32571
Chr5,70000001,80000001,33008
Chr5,80000001,90000001,33339
Chr5,90000001,100000001,26955
Chr5,100000001,110000001,1955
Chr6,1,10000001,27119
Chr6,10000001,20000001,31637
Chr6,20000001,30000001,31787
Chr6,30000001,40000001,33240
Chr6,40000001,50000001,33617
Chr6,50000001,60000001,34364
Chr6,60000001,70000001,24771
Chr7,1,10000001,29228
Chr7,10000001,20000001,29727
Chr7,20000001,30000001,30877
Chr7,30000001,40000001,32942
Chr7,40000001,50000001,34086
Chr7,50000001,60000001,34787
Chr7,60000001,70000001,10265
Chr8,1,10000001,32885
Chr8,10000001,20000001,29770
Chr8,20000001,30000001,32681
Chr8,30000001,40000001,32607
Chr8,40000001,50000001,30911
Chr8,50000001,60000001,5978
Chr9,1,10000001,31201
Chr9,10000001,20000001,27758
Chr9,20000001,30000001,29298
Chr9,30000001,40000001,22634
Chr10,1,10000001,32297
Chr10,10000001,20000001,29008
Chr10,20000001,30000001,5076
Chr11,1,10000001,26085
Chr11,10000001,20000001,33218
Chr11,20000001,30000001,6817
Chr12,1,10000001,31391
Chr12,10000001,20000001,23759
Chr13,1,10000001,27064
Chr13,10000001,20000001,23208
Chr14,1,10000001,27291
Chr14,10000001,20000001,2253
Chr15,1,10000001,30401
Chr15,10000001,20000001,859
Chr16,1,10000001,23639
