Chromosome	Start	End	GC_Content
Chr1	0	500000	50.720600000000005
Chr1	500000	1000000	51.150600000000004
Chr1	1000000	1500000	49.6014
Chr1	1500000	2000000	48.364000000000004
Chr1	2000000	2500000	46.642
Chr1	2500000	3000000	47.4058
Chr1	3000000	3500000	47.4758
Chr1	3500000	4000000	46.766799999999996
Chr1	4000000	4500000	45.9954
Chr1	4500000	5000000	45.7744
Chr1	5000000	5500000	44.102000000000004
Chr1	5500000	6000000	45.1742
Chr1	6000000	6500000	44.233200000000004
Chr1	6500000	7000000	44.6056
Chr1	7000000	7500000	44.6184
Chr1	7500000	8000000	44.5234
Chr1	8000000	8500000	44.345800000000004
Chr1	8500000	9000000	44.595600000000005
Chr1	9000000	9500000	44.14
Chr1	9500000	10000000	44.0722
Chr1	10000000	10500000	44.6008
Chr1	10500000	11000000	44.613
Chr1	11000000	11500000	43.486599999999996
Chr1	11500000	12000000	42.617
Chr1	12000000	12500000	43.644800000000004
Chr1	12500000	13000000	43.113800000000005
Chr1	13000000	13500000	43.092000000000006
Chr1	13500000	14000000	43.841
Chr1	14000000	14500000	43.477199999999996
Chr1	14500000	15000000	43.0578
Chr1	15000000	15500000	42.7816
Chr1	15500000	16000000	43.042
Chr1	16000000	16500000	43.6988
Chr1	16500000	17000000	43.1506
Chr1	17000000	17500000	42.5886
Chr1	17500000	18000000	43.8506
Chr1	18000000	18500000	42.9694
Chr1	18500000	19000000	43.8126
Chr1	19000000	19500000	42.0568
Chr1	19500000	20000000	43.2872
Chr1	20000000	20500000	43.595800000000004
Chr1	20500000	21000000	42.0546
Chr1	21000000	21500000	43.16
Chr1	21500000	22000000	41.8944
Chr1	22000000	22500000	43.2282
Chr1	22500000	23000000	43.459199999999996
Chr1	23000000	23500000	43.0258
Chr1	23500000	24000000	43.7782
Chr1	24000000	24500000	43.4822
Chr1	24500000	25000000	43.453199999999995
Chr1	25000000	25500000	43.023
Chr1	25500000	26000000	42.588
Chr1	26000000	26500000	42.7838
Chr1	26500000	27000000	43.215599999999995
Chr1	27000000	27500000	43.1536
Chr1	27500000	28000000	43.294399999999996
Chr1	28000000	28500000	43.7896
Chr1	28500000	29000000	43.3428
Chr1	29000000	29500000	43.7926
