Chromosome,Start,End,gene
Chr1,1,10000001,0.274
Chr1,10000001,20000001,0.175
Chr1,20000001,30000001,0.14
Chr1,30000001,40000001,0.25
Chr1,40000001,50000001,0.161
Chr1,50000001,60000001,0.154
Chr1,60000001,70000001,0.161
Chr1,70000001,80000001,0.184
Chr1,80000001,90000001,0.173
Chr1,90000001,100000001,0.159
Chr1,100000001,110000001,0.146
Chr1,110000001,120000001,0.167
Chr1,120000001,130000001,0.111
Chr1,130000001,140000001,0.106
Chr1,140000001,150000001,0.1
Chr1,150000001,160000001,0.083
Chr1,160000001,170000001,0.169
Chr1,170000001,180000001,0.177
Chr1,180000001,190000001,0.146
Chr1,190000001,200000001,0.161
Chr1,200000001,210000001,0.192
Chr1,210000001,220000001,0.065
Chr1,220000001,230000001,0.127
Chr1,230000001,240000001,0.294
Chr1,240000001,250000001,0.307
Chr1,250000001,260000001,0.18
Chr1,260000001,270000001,0.096
Chr1,270000001,280000001,0.142
Chr1,280000001,290000001,0.286
Chr1,290000001,300000001,0.107
Chr2,1,10000001,0.192
Chr2,10000001,20000001,0.177
Chr2,20000001,30000001,0.188
Chr2,30000001,40000001,0.119
Chr2,40000001,50000001,0.086
Chr2,50000001,60000001,0.136
Chr2,60000001,70000001,0.121
Chr2,70000001,80000001,0.073
Chr2,80000001,90000001,0.211
Chr2,90000001,100000001,0.175
Chr2,100000001,110000001,0.359
Chr2,110000001,120000001,0.399
Chr2,120000001,130000001,0.236
Chr2,130000001,140000001,0.342
Chr2,140000001,150000001,0.211
Chr2,150000001,160000001,0.25
Chr2,160000001,170000001,0.198
Chr2,170000001,180000001,0.142
Chr2,180000001,190000001,0.177
Chr2,190000001,200000001,0.259
Chr2,200000001,210000001,0.2
Chr2,210000001,220000001,0.165
Chr2,220000001,230000001,0.046
Chr2,230000001,240000001,0.276
Chr2,240000001,250000001,0.499
Chr2,250000001,260000001,0.288
Chr3,1,10000001,0.282
Chr3,10000001,20000001,0.134
Chr3,20000001,30000001,0.155
Chr3,30000001,40000001,0.265
Chr3,40000001,50000001,0.228
Chr3,50000001,60000001,0.138
Chr3,60000001,70000001,0.161
Chr3,70000001,80000001,0.157
Chr3,80000001,90000001,0.121
Chr3,90000001,100000001,0.221
Chr3,100000001,110000001,0.0
Chr3,110000001,120000001,0.044
Chr3,120000001,130000001,0.131
Chr3,130000001,140000001,0.173
Chr3,140000001,150000001,0.154
Chr3,150000001,160000001,0.223
Chr3,160000001,170000001,0.052
Chr3,170000001,180000001,0.154
Chr3,180000001,190000001,0.19
Chr3,190000001,200000001,0.202
Chr3,200000001,210000001,0.324
Chr4,1,10000001,0.259
Chr4,10000001,20000001,0.154
Chr4,20000001,30000001,0.171
Chr4,30000001,40000001,0.18
Chr4,40000001,50000001,0.148
Chr4,50000001,60000001,0.119
Chr4,60000001,70000001,0.192
Chr4,70000001,80000001,0.04
Chr4,80000001,90000001,0.179
Chr4,90000001,100000001,0.33
Chr4,100000001,110000001,0.154
Chr4,110000001,120000001,0.136
Chr4,120000001,130000001,0.113
Chr4,130000001,140000001,0.144
Chr4,140000001,150000001,0.23
Chr4,150000001,160000001,0.317
Chr4,160000001,170000001,0.207
Chr4,170000001,180000001,0.213
Chr4,180000001,190000001,0.192
Chr4,190000001,200000001,0.367
Chr5,1,10000001,0.349
Chr5,10000001,20000001,0.165
Chr5,20000001,30000001,0.179
Chr5,30000001,40000001,0.146
Chr5,40000001,50000001,0.215
Chr5,50000001,60000001,0.115
Chr5,60000001,70000001,0.353
Chr5,70000001,80000001,0.357
Chr5,80000001,90000001,0.405
Chr5,90000001,100000001,0.9
Chr5,100000001,110000001,0.142
Chr6,1,10000001,0.345
Chr6,10000001,20000001,0.165
Chr6,20000001,30000001,0.123
Chr6,30000001,40000001,0.14
Chr6,40000001,50000001,0.119
Chr6,50000001,60000001,0.173
Chr6,60000001,70000001,0.274
Chr7,1,10000001,0.321
Chr7,10000001,20000001,0.365
Chr7,20000001,30000001,0.328
Chr7,30000001,40000001,0.125
Chr7,40000001,50000001,0.173
Chr7,50000001,60000001,0.14
Chr7,60000001,70000001,0.102
Chr8,1,10000001,0.451
Chr8,10000001,20000001,0.403
Chr8,20000001,30000001,0.413
Chr8,30000001,40000001,0.288
Chr8,40000001,50000001,0.257
Chr8,50000001,60000001,0.169
Chr9,1,10000001,0.38
Chr9,10000001,20000001,0.38
Chr9,20000001,30000001,0.322
Chr9,30000001,40000001,0.257
Chr10,1,10000001,0.447
Chr10,10000001,20000001,0.532
Chr10,20000001,30000001,0.349
Chr11,1,10000001,0.386
Chr11,10000001,20000001,0.405
Chr11,20000001,30000001,0.027
Chr12,1,10000001,0.324
Chr12,10000001,20000001,0.311
Chr13,1,10000001,0.645
Chr13,10000001,20000001,0.223
Chr14,1,10000001,0.716
Chr14,10000001,20000001,0.077
Chr15,1,10000001,0.583
Chr15,10000001,20000001,0.046
Chr16,1,10000001,1.0
