Chromosome,Start,End,gene
Chr1,1,10000001,155
Chr1,10000001,20000001,103
Chr1,20000001,30000001,85
Chr1,30000001,40000001,142
Chr1,40000001,50000001,96
Chr1,50000001,60000001,92
Chr1,60000001,70000001,96
Chr1,70000001,80000001,108
Chr1,80000001,90000001,102
Chr1,90000001,100000001,95
Chr1,100000001,110000001,88
Chr1,110000001,120000001,99
Chr1,120000001,130000001,70
Chr1,130000001,140000001,67
Chr1,140000001,150000001,64
Chr1,150000001,160000001,55
Chr1,160000001,170000001,100
Chr1,170000001,180000001,104
Chr1,180000001,190000001,88
Chr1,190000001,200000001,96
Chr1,200000001,210000001,112
Chr1,210000001,220000001,46
Chr1,220000001,230000001,78
Chr1,230000001,240000001,165
Chr1,240000001,250000001,172
Chr1,250000001,260000001,106
Chr1,260000001,270000001,62
Chr1,270000001,280000001,86
Chr1,280000001,290000001,161
Chr1,290000001,300000001,68
Chr2,1,10000001,112
Chr2,10000001,20000001,104
Chr2,20000001,30000001,110
Chr2,30000001,40000001,74
Chr2,40000001,50000001,57
Chr2,50000001,60000001,83
Chr2,60000001,70000001,75
Chr2,70000001,80000001,50
Chr2,80000001,90000001,122
Chr2,90000001,100000001,103
Chr2,100000001,110000001,199
Chr2,110000001,120000001,220
Chr2,120000001,130000001,135
Chr2,130000001,140000001,190
Chr2,140000001,150000001,122
Chr2,150000001,160000001,142
Chr2,160000001,170000001,115
Chr2,170000001,180000001,86
Chr2,180000001,190000001,104
Chr2,190000001,200000001,147
Chr2,200000001,210000001,116
Chr2,210000001,220000001,98
Chr2,220000001,230000001,36
Chr2,230000001,240000001,156
Chr2,240000001,250000001,272
Chr2,250000001,260000001,162
Chr3,1,10000001,159
Chr3,10000001,20000001,82
Chr3,20000001,30000001,93
Chr3,30000001,40000001,150
Chr3,40000001,50000001,131
Chr3,50000001,60000001,84
Chr3,60000001,70000001,96
Chr3,70000001,80000001,94
Chr3,80000001,90000001,75
Chr3,90000001,100000001,127
Chr3,100000001,110000001,12
Chr3,110000001,120000001,35
Chr3,120000001,130000001,80
Chr3,130000001,140000001,102
Chr3,140000001,150000001,92
Chr3,150000001,160000001,128
Chr3,160000001,170000001,39
Chr3,170000001,180000001,92
Chr3,180000001,190000001,111
Chr3,190000001,200000001,117
Chr3,200000001,210000001,181
Chr4,1,10000001,147
Chr4,10000001,20000001,92
Chr4,20000001,30000001,101
Chr4,30000001,40000001,106
Chr4,40000001,50000001,89
Chr4,50000001,60000001,74
Chr4,60000001,70000001,112
Chr4,70000001,80000001,33
Chr4,80000001,90000001,105
Chr4,90000001,100000001,184
Chr4,100000001,110000001,92
Chr4,110000001,120000001,83
Chr4,120000001,130000001,71
Chr4,130000001,140000001,87
Chr4,140000001,150000001,132
Chr4,150000001,160000001,177
Chr4,160000001,170000001,120
Chr4,170000001,180000001,123
Chr4,180000001,190000001,112
Chr4,190000001,200000001,203
Chr5,1,10000001,194
Chr5,10000001,20000001,98
Chr5,20000001,30000001,105
Chr5,30000001,40000001,88
Chr5,40000001,50000001,124
Chr5,50000001,60000001,72
Chr5,60000001,70000001,196
Chr5,70000001,80000001,198
Chr5,80000001,90000001,223
Chr5,90000001,100000001,481
Chr5,100000001,110000001,86
Chr6,1,10000001,192
Chr6,10000001,20000001,98
Chr6,20000001,30000001,76
Chr6,30000001,40000001,85
Chr6,40000001,50000001,74
Chr6,50000001,60000001,102
Chr6,60000001,70000001,155
Chr7,1,10000001,179
Chr7,10000001,20000001,202
Chr7,20000001,30000001,183
Chr7,30000001,40000001,77
Chr7,40000001,50000001,102
Chr7,50000001,60000001,85
Chr7,60000001,70000001,65
Chr8,1,10000001,247
Chr8,10000001,20000001,222
Chr8,20000001,30000001,227
Chr8,30000001,40000001,162
Chr8,40000001,50000001,146
Chr8,50000001,60000001,100
Chr9,1,10000001,210
Chr9,10000001,20000001,210
Chr9,20000001,30000001,180
Chr9,30000001,40000001,146
Chr10,1,10000001,245
Chr10,10000001,20000001,289
Chr10,20000001,30000001,194
Chr11,1,10000001,213
Chr11,10000001,20000001,223
Chr11,20000001,30000001,26
Chr12,1,10000001,181
Chr12,10000001,20000001,174
Chr13,1,10000001,348
Chr13,10000001,20000001,128
Chr14,1,10000001,385
Chr14,10000001,20000001,52
Chr15,1,10000001,316
Chr15,10000001,20000001,36
Chr16,1,10000001,533
