Chromosome,Start,End,repeat
Chr1,1,10000001,0.891
Chr1,10000001,20000001,0.977
Chr1,20000001,30000001,0.914
Chr1,30000001,40000001,0.826
Chr1,40000001,50000001,0.926
Chr1,50000001,60000001,0.922
Chr1,60000001,70000001,0.909
Chr1,70000001,80000001,0.871
Chr1,80000001,90000001,0.904
Chr1,90000001,100000001,0.895
Chr1,100000001,110000001,0.915
Chr1,110000001,120000001,0.95
Chr1,120000001,130000001,0.923
Chr1,130000001,140000001,0.948
Chr1,140000001,150000001,0.947
Chr1,150000001,160000001,0.966
Chr1,160000001,170000001,0.94
Chr1,170000001,180000001,0.95
Chr1,180000001,190000001,0.797
Chr1,190000001,200000001,0.924
Chr1,200000001,210000001,0.954
Chr1,210000001,220000001,0.921
Chr1,220000001,230000001,0.905
Chr1,230000001,240000001,0.869
Chr1,240000001,250000001,0.88
Chr1,250000001,260000001,0.88
Chr1,260000001,270000001,0.941
Chr1,270000001,280000001,0.92
Chr1,280000001,290000001,0.952
Chr1,290000001,300000001,0.666
Chr2,1,10000001,0.851
Chr2,10000001,20000001,0.974
Chr2,20000001,30000001,0.919
Chr2,30000001,40000001,0.909
Chr2,40000001,50000001,0.909
Chr2,50000001,60000001,0.935
Chr2,60000001,70000001,0.932
Chr2,70000001,80000001,0.939
Chr2,80000001,90000001,0.964
Chr2,90000001,100000001,0.804
Chr2,100000001,110000001,0.956
Chr2,110000001,120000001,0.931
Chr2,120000001,130000001,0.889
Chr2,130000001,140000001,0.896
Chr2,140000001,150000001,0.853
Chr2,150000001,160000001,0.84
Chr2,160000001,170000001,0.88
Chr2,170000001,180000001,0.906
Chr2,180000001,190000001,0.89
Chr2,190000001,200000001,0.853
Chr2,200000001,210000001,0.911
Chr2,210000001,220000001,0.877
Chr2,220000001,230000001,0.93
Chr2,230000001,240000001,0.962
Chr2,240000001,250000001,0.886
Chr2,250000001,260000001,0.164
Chr3,1,10000001,0.833
Chr3,10000001,20000001,0.944
Chr3,20000001,30000001,0.908
Chr3,30000001,40000001,0.862
Chr3,40000001,50000001,0.837
Chr3,50000001,60000001,0.888
Chr3,60000001,70000001,0.948
Chr3,70000001,80000001,0.921
Chr3,80000001,90000001,0.914
Chr3,90000001,100000001,0.921
Chr3,100000001,110000001,0.97
Chr3,110000001,120000001,0.975
Chr3,120000001,130000001,0.947
Chr3,130000001,140000001,0.934
Chr3,140000001,150000001,0.899
Chr3,150000001,160000001,0.904
Chr3,160000001,170000001,0.881
Chr3,170000001,180000001,0.902
Chr3,180000001,190000001,0.911
Chr3,190000001,200000001,0.979
Chr3,200000001,210000001,0.645
Chr4,1,10000001,0.849
Chr4,10000001,20000001,0.912
Chr4,20000001,30000001,0.887
Chr4,30000001,40000001,0.914
Chr4,40000001,50000001,0.898
Chr4,50000001,60000001,0.887
Chr4,60000001,70000001,0.913
Chr4,70000001,80000001,0.931
Chr4,80000001,90000001,0.885
Chr4,90000001,100000001,0.872
Chr4,100000001,110000001,0.938
Chr4,110000001,120000001,0.941
Chr4,120000001,130000001,0.899
Chr4,130000001,140000001,0.909
Chr4,140000001,150000001,0.859
Chr4,150000001,160000001,0.843
Chr4,160000001,170000001,0.861
Chr4,170000001,180000001,0.882
Chr4,180000001,190000001,0.942
Chr4,190000001,200000001,0.789
Chr5,1,10000001,0.769
Chr5,10000001,20000001,0.881
Chr5,20000001,30000001,0.942
Chr5,30000001,40000001,0.946
Chr5,40000001,50000001,0.939
Chr5,50000001,60000001,0.934
Chr5,60000001,70000001,0.941
Chr5,70000001,80000001,0.943
Chr5,80000001,90000001,0.95
Chr5,90000001,100000001,0.783
Chr5,100000001,110000001,0.04
Chr6,1,10000001,0.898
Chr6,10000001,20000001,0.973
Chr6,20000001,30000001,0.96
Chr6,30000001,40000001,0.947
Chr6,40000001,50000001,0.917
Chr6,50000001,60000001,0.903
Chr6,60000001,70000001,0.615
Chr7,1,10000001,0.92
Chr7,10000001,20000001,1.0
Chr7,20000001,30000001,0.946
Chr7,30000001,40000001,0.92
Chr7,40000001,50000001,0.872
Chr7,50000001,60000001,0.892
Chr7,60000001,70000001,0.25
Chr8,1,10000001,0.793
Chr8,10000001,20000001,0.916
Chr8,20000001,30000001,0.956
Chr8,30000001,40000001,0.878
Chr8,40000001,50000001,0.956
Chr8,50000001,60000001,0.227
Chr9,1,10000001,0.828
Chr9,10000001,20000001,0.852
Chr9,20000001,30000001,0.753
Chr9,30000001,40000001,0.754
Chr10,1,10000001,0.937
Chr10,10000001,20000001,0.825
Chr10,20000001,30000001,0.131
Chr11,1,10000001,0.952
Chr11,10000001,20000001,0.882
Chr11,20000001,30000001,0.058
Chr12,1,10000001,0.925
Chr12,10000001,20000001,0.63
Chr13,1,10000001,0.945
Chr13,10000001,20000001,0.469
Chr14,1,10000001,0.881
Chr14,10000001,20000001,0.007
Chr15,1,10000001,0.817
Chr15,10000001,20000001,0.0
Chr16,1,10000001,0.668
