Chromosome	Start	End	GC_Content
Chr1	1	500001	51.0892
Chr1	500001	1000001	50.6768
Chr1	1000001	1500001	49.6342
Chr1	1500001	2000001	48.3956
Chr1	2000001	2500001	46.524
Chr1	2500001	3000001	47.403
Chr1	3000001	3500001	47.2518
Chr1	3500001	4000001	46.9064
Chr1	4000001	4500001	46.0982
Chr1	4500001	5000001	45.6814
Chr1	5000001	5500001	44.056200000000004
Chr1	5500001	6000001	45.0566
Chr1	6000001	6500001	44.3664
Chr1	6500001	7000001	44.316
Chr1	7000001	7500001	44.6982
Chr1	7500001	8000001	44.6718
Chr1	8000001	8500001	44.2218
Chr1	8500001	9000001	44.4974
Chr1	9000001	9500001	44.2614
Chr1	9500001	10000001	44.3102
Chr1	10000001	10500001	44.4768
Chr1	10500001	11000001	44.6444
Chr1	11000001	11500001	43.602000000000004
Chr1	11500001	12000001	42.735800000000005
Chr1	12000001	12500001	43.595
Chr1	12500001	13000001	43.0898
Chr1	13000001	13500001	42.9808
Chr1	13500001	14000001	43.8934
Chr1	14000001	14500001	43.5662
Chr1	14500001	15000001	43.2166
Chr1	15000001	15500001	43.1062
Chr1	15500001	16000001	42.754599999999996
Chr1	16000001	16500001	43.664199999999994
Chr1	16500001	17000001	43.1276
Chr1	17000001	17500001	42.5978
Chr1	17500001	18000001	43.6344
Chr1	18000001	18500001	42.8608
Chr1	18500001	19000001	43.9152
Chr1	19000001	19500001	42.320600000000006
Chr1	19500001	20000001	43.4052
Chr1	20000001	20500001	43.547200000000004
Chr1	20500001	21000001	42.5428
Chr1	21000001	21500001	42.992000000000004
Chr1	21500001	22000001	42.3386
Chr1	22000001	22500001	42.888
Chr1	22500001	23000001	43.2242
Chr1	23000001	23500001	43.1498
Chr1	23500001	24000001	43.1694
Chr1	24000001	24500001	43.473
Chr1	24500001	25000001	43.4032
Chr1	25000001	25500001	43.2038
Chr1	25500001	26000001	42.5794
Chr1	26000001	26500001	42.9402
Chr1	26500001	27000001	43.3228
Chr1	27000001	27500001	42.9154
Chr1	27500001	28000001	43.318400000000004
Chr1	28000001	28500001	43.723800000000004
