Chromosome,Start,End,mRNA
Chr1,1,10000001,0.265
Chr1,10000001,20000001,0.19
Chr1,20000001,30000001,0.133
Chr1,30000001,40000001,0.245
Chr1,40000001,50000001,0.158
Chr1,50000001,60000001,0.137
Chr1,60000001,70000001,0.136
Chr1,70000001,80000001,0.173
Chr1,80000001,90000001,0.186
Chr1,90000001,100000001,0.159
Chr1,100000001,110000001,0.144
Chr1,110000001,120000001,0.144
Chr1,120000001,130000001,0.128
Chr1,130000001,140000001,0.08
Chr1,140000001,150000001,0.097
Chr1,150000001,160000001,0.083
Chr1,160000001,170000001,0.162
Chr1,170000001,180000001,0.229
Chr1,180000001,190000001,0.126
Chr1,190000001,200000001,0.168
Chr1,200000001,210000001,0.159
Chr1,210000001,220000001,0.053
Chr1,220000001,230000001,0.136
Chr1,230000001,240000001,0.304
Chr1,240000001,250000001,0.24
Chr1,250000001,260000001,0.181
Chr1,260000001,270000001,0.133
Chr1,270000001,280000001,0.15
Chr1,280000001,290000001,0.25
Chr1,290000001,300000001,0.112
Chr2,1,10000001,0.165
Chr2,10000001,20000001,0.187
Chr2,20000001,30000001,0.187
Chr2,30000001,40000001,0.126
Chr2,40000001,50000001,0.103
Chr2,50000001,60000001,0.12
Chr2,60000001,70000001,0.123
Chr2,70000001,80000001,0.081
Chr2,80000001,90000001,0.19
Chr2,90000001,100000001,0.168
Chr2,100000001,110000001,0.435
Chr2,110000001,120000001,0.388
Chr2,120000001,130000001,0.256
Chr2,130000001,140000001,0.301
Chr2,140000001,150000001,0.285
Chr2,150000001,160000001,0.25
Chr2,160000001,170000001,0.133
Chr2,170000001,180000001,0.145
Chr2,180000001,190000001,0.175
Chr2,190000001,200000001,0.287
Chr2,200000001,210000001,0.186
Chr2,210000001,220000001,0.123
Chr2,220000001,230000001,0.061
Chr2,230000001,240000001,0.368
Chr2,240000001,250000001,0.476
Chr2,250000001,260000001,0.144
Chr3,1,10000001,0.282
Chr3,10000001,20000001,0.137
Chr3,20000001,30000001,0.167
Chr3,30000001,40000001,0.265
Chr3,40000001,50000001,0.231
Chr3,50000001,60000001,0.125
Chr3,60000001,70000001,0.156
Chr3,70000001,80000001,0.173
Chr3,80000001,90000001,0.119
Chr3,90000001,100000001,0.226
Chr3,100000001,110000001,0.0
Chr3,110000001,120000001,0.053
Chr3,120000001,130000001,0.151
Chr3,130000001,140000001,0.164
Chr3,140000001,150000001,0.137
Chr3,150000001,160000001,0.254
Chr3,160000001,170000001,0.028
Chr3,170000001,180000001,0.19
Chr3,180000001,190000001,0.189
Chr3,190000001,200000001,0.192
Chr3,200000001,210000001,0.3
Chr4,1,10000001,0.226
Chr4,10000001,20000001,0.156
Chr4,20000001,30000001,0.165
Chr4,30000001,40000001,0.167
Chr4,40000001,50000001,0.153
Chr4,50000001,60000001,0.115
Chr4,60000001,70000001,0.168
Chr4,70000001,80000001,0.028
Chr4,80000001,90000001,0.17
Chr4,90000001,100000001,0.265
Chr4,100000001,110000001,0.14
Chr4,110000001,120000001,0.14
Chr4,120000001,130000001,0.098
Chr4,130000001,140000001,0.173
Chr4,140000001,150000001,0.232
Chr4,150000001,160000001,0.3
Chr4,160000001,170000001,0.22
Chr4,170000001,180000001,0.22
Chr4,180000001,190000001,0.198
Chr4,190000001,200000001,0.334
Chr5,1,10000001,0.354
Chr5,10000001,20000001,0.179
Chr5,20000001,30000001,0.186
Chr5,30000001,40000001,0.165
Chr5,40000001,50000001,0.214
Chr5,50000001,60000001,0.129
Chr5,60000001,70000001,0.343
Chr5,70000001,80000001,0.343
Chr5,80000001,90000001,0.384
Chr5,90000001,100000001,0.805
Chr5,100000001,110000001,0.139
Chr6,1,10000001,0.29
Chr6,10000001,20000001,0.189
Chr6,20000001,30000001,0.103
Chr6,30000001,40000001,0.142
Chr6,40000001,50000001,0.115
Chr6,50000001,60000001,0.2
Chr6,60000001,70000001,0.264
Chr7,1,10000001,0.232
Chr7,10000001,20000001,0.114
Chr7,20000001,30000001,0.193
Chr7,30000001,40000001,0.217
Chr7,40000001,50000001,0.368
Chr7,50000001,60000001,0.243
Chr7,60000001,70000001,0.198
Chr8,1,10000001,0.342
Chr8,10000001,20000001,0.332
Chr8,20000001,30000001,0.307
Chr8,30000001,40000001,0.463
Chr8,40000001,50000001,0.396
Chr8,50000001,60000001,0.173
Chr9,1,10000001,0.292
Chr9,10000001,20000001,0.323
Chr9,20000001,30000001,0.434
Chr9,30000001,40000001,0.273
Chr10,1,10000001,0.451
Chr10,10000001,20000001,0.518
Chr10,20000001,30000001,0.337
Chr11,1,10000001,0.387
Chr11,10000001,20000001,0.273
Chr11,20000001,30000001,0.126
Chr12,1,10000001,0.292
Chr12,10000001,20000001,0.315
Chr13,1,10000001,0.368
Chr13,10000001,20000001,0.501
Chr14,1,10000001,0.604
Chr14,10000001,20000001,0.047
Chr15,1,10000001,0.738
Chr15,10000001,20000001,0.07
Chr16,1,10000001,1.0
