Chromosome,Start,End,exon
Chr1,1,10000001,0.295
Chr1,10000001,20000001,0.193
Chr1,20000001,30000001,0.121
Chr1,30000001,40000001,0.285
Chr1,40000001,50000001,0.219
Chr1,50000001,60000001,0.153
Chr1,60000001,70000001,0.19
Chr1,70000001,80000001,0.216
Chr1,80000001,90000001,0.228
Chr1,90000001,100000001,0.181
Chr1,100000001,110000001,0.125
Chr1,110000001,120000001,0.156
Chr1,120000001,130000001,0.125
Chr1,130000001,140000001,0.181
Chr1,140000001,150000001,0.101
Chr1,150000001,160000001,0.083
Chr1,160000001,170000001,0.222
Chr1,170000001,180000001,0.228
Chr1,180000001,190000001,0.113
Chr1,190000001,200000001,0.201
Chr1,200000001,210000001,0.271
Chr1,210000001,220000001,0.178
Chr1,220000001,230000001,0.151
Chr1,230000001,240000001,0.324
Chr1,240000001,250000001,0.306
Chr1,250000001,260000001,0.196
Chr1,260000001,270000001,0.077
Chr1,270000001,280000001,0.236
Chr1,280000001,290000001,0.344
Chr1,290000001,300000001,0.124
Chr2,1,10000001,0.219
Chr2,10000001,20000001,0.253
Chr2,20000001,30000001,0.199
Chr2,30000001,40000001,0.147
Chr2,40000001,50000001,0.097
Chr2,50000001,60000001,0.134
Chr2,60000001,70000001,0.155
Chr2,70000001,80000001,0.077
Chr2,80000001,90000001,0.184
Chr2,90000001,100000001,0.193
Chr2,100000001,110000001,0.44
Chr2,110000001,120000001,0.554
Chr2,120000001,130000001,0.211
Chr2,130000001,140000001,0.368
Chr2,140000001,150000001,0.283
Chr2,150000001,160000001,0.297
Chr2,160000001,170000001,0.227
Chr2,170000001,180000001,0.132
Chr2,180000001,190000001,0.17
Chr2,190000001,200000001,0.259
Chr2,200000001,210000001,0.229
Chr2,210000001,220000001,0.279
Chr2,220000001,230000001,0.062
Chr2,230000001,240000001,0.225
Chr2,240000001,250000001,0.37
Chr2,250000001,260000001,0.175
Chr3,1,10000001,0.316
Chr3,10000001,20000001,0.126
Chr3,20000001,30000001,0.195
Chr3,30000001,40000001,0.297
Chr3,40000001,50000001,0.276
Chr3,50000001,60000001,0.165
Chr3,60000001,70000001,0.168
Chr3,70000001,80000001,0.159
Chr3,80000001,90000001,0.096
Chr3,90000001,100000001,0.225
Chr3,100000001,110000001,0.0
Chr3,110000001,120000001,0.062
Chr3,120000001,130000001,0.174
Chr3,130000001,140000001,0.18
Chr3,140000001,150000001,0.169
Chr3,150000001,160000001,0.243
Chr3,160000001,170000001,0.06
Chr3,170000001,180000001,0.141
Chr3,180000001,190000001,0.175
Chr3,190000001,200000001,0.175
Chr3,200000001,210000001,0.271
Chr4,1,10000001,0.308
Chr4,10000001,20000001,0.185
Chr4,20000001,30000001,0.142
Chr4,30000001,40000001,0.191
Chr4,40000001,50000001,0.241
Chr4,50000001,60000001,0.118
Chr4,60000001,70000001,0.143
Chr4,70000001,80000001,0.08
Chr4,80000001,90000001,0.149
Chr4,90000001,100000001,0.249
Chr4,100000001,110000001,0.202
Chr4,110000001,120000001,0.173
Chr4,120000001,130000001,0.141
Chr4,130000001,140000001,0.171
Chr4,140000001,150000001,0.241
Chr4,150000001,160000001,0.329
Chr4,160000001,170000001,0.234
Chr4,170000001,180000001,0.255
Chr4,180000001,190000001,0.177
Chr4,190000001,200000001,0.354
Chr5,1,10000001,0.414
Chr5,10000001,20000001,0.202
Chr5,20000001,30000001,0.184
Chr5,30000001,40000001,0.098
Chr5,40000001,50000001,0.26
Chr5,50000001,60000001,0.109
Chr5,60000001,70000001,0.351
Chr5,70000001,80000001,0.346
Chr5,80000001,90000001,0.36
Chr5,90000001,100000001,0.782
Chr5,100000001,110000001,0.154
Chr6,1,10000001,0.378
Chr6,10000001,20000001,0.178
Chr6,20000001,30000001,0.129
Chr6,30000001,40000001,0.154
Chr6,40000001,50000001,0.132
Chr6,50000001,60000001,0.22
Chr6,60000001,70000001,0.301
Chr7,1,10000001,0.389
Chr7,10000001,20000001,0.37
Chr7,20000001,30000001,0.333
Chr7,30000001,40000001,0.157
Chr7,40000001,50000001,0.228
Chr7,50000001,60000001,0.16
Chr7,60000001,70000001,0.18
Chr8,1,10000001,0.481
Chr8,10000001,20000001,0.503
Chr8,20000001,30000001,0.445
Chr8,30000001,40000001,0.368
Chr8,40000001,50000001,0.339
Chr8,50000001,60000001,0.225
Chr9,1,10000001,0.392
Chr9,10000001,20000001,0.643
Chr9,20000001,30000001,0.348
Chr9,30000001,40000001,0.255
Chr10,1,10000001,0.478
Chr10,10000001,20000001,0.427
Chr10,20000001,30000001,0.393
Chr11,1,10000001,0.435
Chr11,10000001,20000001,0.451
Chr11,20000001,30000001,0.036
Chr12,1,10000001,0.342
Chr12,10000001,20000001,0.349
Chr13,1,10000001,0.811
Chr13,10000001,20000001,0.241
Chr14,1,10000001,1.0
Chr14,10000001,20000001,0.099
Chr15,1,10000001,0.724
Chr15,10000001,20000001,0.075
Chr16,1,10000001,0.962
